cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,espn_match_id_candidate,espn_legacy_match_url_candidate,espn_match_id_verified,espn_match_url_verified,espn_linkage_status,source_search_query,source_url,source_title,published_at_utc,accessed_at_utc,pre_match_verified,coder_id,coder_confidence,pitch_primary_category,batting_ease,pace_seam_support,spin_support,bounce_profile,two_paced_expected,dew_expected,short_paraphrased_note,exclusion_reason
1341979,2022-12-07,ICC Men's Cricket World Cup League 2,qualification_pathway,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,Nepal,1341979,https://www.espncricinfo.com/ci/engine/match/1341979.html,,,unverified_candidate,"site:espncricinfo.com ""Namibia"" ""Nepal"" ""2022-12-07"" preview pitch conditions",,,,,,,,,,,,,,,,
1341980,2022-12-08,ICC Men's Cricket World Cup League 2,qualification_pathway,"United Cricket Club Ground, Windhoek",Windhoek,Nepal,Scotland,1341980,https://www.espncricinfo.com/ci/engine/match/1341980.html,,,unverified_candidate,"site:espncricinfo.com ""Nepal"" ""Scotland"" ""2022-12-08"" preview pitch conditions",,,,,,,,,,,,,,,,
1340847,2022-12-10,India tour of Bangladesh,bilateral_series,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,India,Bangladesh,1340847,https://www.espncricinfo.com/ci/engine/match/1340847.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""Bangladesh"" ""2022-12-10"" preview pitch conditions",,,,,,,,,,,,,,,,
1339611,2023-01-09,New Zealand tour of Pakistan,bilateral_series,"National Stadium, Karachi",Karachi,New Zealand,Pakistan,1339611,https://www.espncricinfo.com/ci/engine/match/1339611.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Pakistan"" ""2023-01-09"" preview pitch conditions",,,,,,,,,,,,,,,,
1348643,2023-01-10,Sri Lanka tour of India,bilateral_series,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,Sri Lanka,1348643,https://www.espncricinfo.com/ci/engine/match/1348643.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""Sri Lanka"" ""2023-01-10"" preview pitch conditions",,,,,,,,,,,,,,,,
1339612,2023-01-11,New Zealand tour of Pakistan,bilateral_series,"National Stadium, Karachi",Karachi,New Zealand,Pakistan,1339612,https://www.espncricinfo.com/ci/engine/match/1339612.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Pakistan"" ""2023-01-11"" preview pitch conditions",,,,,,,,,,,,,,,,
1348644,2023-01-12,Sri Lanka tour of India,bilateral_series,"Eden Gardens, Kolkata",Kolkata,Sri Lanka,India,1348644,https://www.espncricinfo.com/ci/engine/match/1348644.html,,,unverified_candidate,"site:espncricinfo.com ""Sri Lanka"" ""India"" ""2023-01-12"" preview pitch conditions",,,,,,,,,,,,,,,,
1339613,2023-01-13,New Zealand tour of Pakistan,bilateral_series,"National Stadium, Karachi",Karachi,Pakistan,New Zealand,1339613,https://www.espncricinfo.com/ci/engine/match/1339613.html,,,unverified_candidate,"site:espncricinfo.com ""Pakistan"" ""New Zealand"" ""2023-01-13"" preview pitch conditions",,,,,,,,,,,,,,,,
1348645,2023-01-15,Sri Lanka tour of India,bilateral_series,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,Sri Lanka,1348645,https://www.espncricinfo.com/ci/engine/match/1348645.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""Sri Lanka"" ""2023-01-15"" preview pitch conditions",,,,,,,,,,,,,,,,
1348646,2023-01-18,New Zealand tour of India,bilateral_series,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,New Zealand,1348646,https://www.espncricinfo.com/ci/engine/match/1348646.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""New Zealand"" ""2023-01-18"" preview pitch conditions",,,,,,,,,,,,,,,,
1348327,2023-01-21,Ireland tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Ireland,Zimbabwe,1348327,https://www.espncricinfo.com/ci/engine/match/1348327.html,,,unverified_candidate,"site:espncricinfo.com ""Ireland"" ""Zimbabwe"" ""2023-01-21"" preview pitch conditions",,,,,,,,,,,,,,,,
1348647,2023-01-21,New Zealand tour of India,bilateral_series,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,New Zealand,India,1348647,https://www.espncricinfo.com/ci/engine/match/1348647.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""India"" ""2023-01-21"" preview pitch conditions",,,,,,,,,,,,,,,,
1348648,2023-01-24,New Zealand tour of India,bilateral_series,"Holkar Cricket Stadium, Indore",Indore,India,New Zealand,1348648,https://www.espncricinfo.com/ci/engine/match/1348648.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""New Zealand"" ""2023-01-24"" preview pitch conditions",,,,,,,,,,,,,,,,
1339595,2023-01-27,England tour of South Africa,bilateral_series,"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa,England,1339595,https://www.espncricinfo.com/ci/engine/match/1339595.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""England"" ""2023-01-27"" preview pitch conditions",,,,,,,,,,,,,,,,
1339596,2023-01-29,England tour of South Africa,bilateral_series,"Mangaung Oval, Bloemfontein",Bloemfontein,England,South Africa,1339596,https://www.espncricinfo.com/ci/engine/match/1339596.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""South Africa"" ""2023-01-29"" preview pitch conditions",,,,,,,,,,,,,,,,
1339597,2023-02-01,England tour of South Africa,bilateral_series,"Diamond Oval, Kimberley",Kimberley,England,South Africa,1339597,https://www.espncricinfo.com/ci/engine/match/1339597.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""South Africa"" ""2023-02-01"" preview pitch conditions",,,,,,,,,,,,,,,,
1358073,2023-02-14,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Namibia,Nepal,1358073,https://www.espncricinfo.com/ci/engine/match/1358073.html,,,unverified_candidate,"site:espncricinfo.com ""Namibia"" ""Nepal"" ""2023-02-14"" preview pitch conditions",,,,,,,,,,,,,,,,
1358074,2023-02-15,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Namibia,Scotland,1358074,https://www.espncricinfo.com/ci/engine/match/1358074.html,,,unverified_candidate,"site:espncricinfo.com ""Namibia"" ""Scotland"" ""2023-02-15"" preview pitch conditions",,,,,,,,,,,,,,,,
1358075,2023-02-17,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Scotland,Nepal,1358075,https://www.espncricinfo.com/ci/engine/match/1358075.html,,,unverified_candidate,"site:espncricinfo.com ""Scotland"" ""Nepal"" ""2023-02-17"" preview pitch conditions",,,,,,,,,,,,,,,,
1358076,2023-02-18,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Namibia,Nepal,1358076,https://www.espncricinfo.com/ci/engine/match/1358076.html,,,unverified_candidate,"site:espncricinfo.com ""Namibia"" ""Nepal"" ""2023-02-18"" preview pitch conditions",,,,,,,,,,,,,,,,
1358077,2023-02-20,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Scotland,Namibia,1358077,https://www.espncricinfo.com/ci/engine/match/1358077.html,,,unverified_candidate,"site:espncricinfo.com ""Scotland"" ""Namibia"" ""2023-02-20"" preview pitch conditions",,,,,,,,,,,,,,,,
1358078,2023-02-21,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Scotland,Nepal,1358078,https://www.espncricinfo.com/ci/engine/match/1358078.html,,,unverified_candidate,"site:espncricinfo.com ""Scotland"" ""Nepal"" ""2023-02-21"" preview pitch conditions",,,,,,,,,,,,,,,,
1358079,2023-02-23,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Namibia,United Arab Emirates,1358079,https://www.espncricinfo.com/ci/engine/match/1358079.html,,,unverified_candidate,"site:espncricinfo.com ""Namibia"" ""United Arab Emirates"" ""2023-02-23"" preview pitch conditions",,,,,,,,,,,,,,,,
1358080,2023-02-25,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Namibia,1358080,https://www.espncricinfo.com/ci/engine/match/1358080.html,,,unverified_candidate,"site:espncricinfo.com ""United Arab Emirates"" ""Namibia"" ""2023-02-25"" preview pitch conditions",,,,,,,,,,,,,,,,
1358082,2023-02-28,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Papua New Guinea,United Arab Emirates,1358082,https://www.espncricinfo.com/ci/engine/match/1358082.html,,,unverified_candidate,"site:espncricinfo.com ""Papua New Guinea"" ""United Arab Emirates"" ""2023-02-28"" preview pitch conditions",,,,,,,,,,,,,,,,
1351397,2023-03-01,England tour of Bangladesh,bilateral_series,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,England,1351397,https://www.espncricinfo.com/ci/engine/match/1351397.html,,,unverified_candidate,"site:espncricinfo.com ""Bangladesh"" ""England"" ""2023-03-01"" preview pitch conditions",,,,,,,,,,,,,,,,
1358083,2023-03-02,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Nepal,1358083,https://www.espncricinfo.com/ci/engine/match/1358083.html,,,unverified_candidate,"site:espncricinfo.com ""United Arab Emirates"" ""Nepal"" ""2023-03-02"" preview pitch conditions",,,,,,,,,,,,,,,,
1351398,2023-03-03,England tour of Bangladesh,bilateral_series,"Shere Bangla National Stadium, Mirpur",Dhaka,England,Bangladesh,1351398,https://www.espncricinfo.com/ci/engine/match/1351398.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""Bangladesh"" ""2023-03-03"" preview pitch conditions",,,,,,,,,,,,,,,,
1358084,2023-03-03,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Papua New Guinea,Nepal,1358084,https://www.espncricinfo.com/ci/engine/match/1358084.html,,,unverified_candidate,"site:espncricinfo.com ""Papua New Guinea"" ""Nepal"" ""2023-03-03"" preview pitch conditions",,,,,,,,,,,,,,,,
1358085,2023-03-05,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Papua New Guinea,1358085,https://www.espncricinfo.com/ci/engine/match/1358085.html,,,unverified_candidate,"site:espncricinfo.com ""United Arab Emirates"" ""Papua New Guinea"" ""2023-03-05"" preview pitch conditions",,,,,,,,,,,,,,,,
1351399,2023-03-06,England tour of Bangladesh,bilateral_series,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,England,1351399,https://www.espncricinfo.com/ci/engine/match/1351399.html,,,unverified_candidate,"site:espncricinfo.com ""Bangladesh"" ""England"" ""2023-03-06"" preview pitch conditions",,,,,,,,,,,,,,,,
1358086,2023-03-06,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Nepal,United Arab Emirates,1358086,https://www.espncricinfo.com/ci/engine/match/1358086.html,,,unverified_candidate,"site:espncricinfo.com ""Nepal"" ""United Arab Emirates"" ""2023-03-06"" preview pitch conditions",,,,,,,,,,,,,,,,
1358087,2023-03-09,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Papua New Guinea,1358087,https://www.espncricinfo.com/ci/engine/match/1358087.html,,,unverified_candidate,"site:espncricinfo.com ""Nepal"" ""Papua New Guinea"" ""2023-03-09"" preview pitch conditions",,,,,,,,,,,,,,,,
1358088,2023-03-10,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,United Arab Emirates,1358088,https://www.espncricinfo.com/ci/engine/match/1358088.html,,,unverified_candidate,"site:espncricinfo.com ""Papua New Guinea"" ""United Arab Emirates"" ""2023-03-10"" preview pitch conditions",,,,,,,,,,,,,,,,
