cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,source_search_query,source_url,source_title,accessed_at_utc,scheduled_start_local,timezone_name,scheduled_start_utc,start_time_status,verifier_id,verification_note,exclusion_reason
1339602,2023-03-18,West Indies tour of South Africa,bilateral_series,"Buffalo Park, East London",East London,West Indies,South Africa,"""West Indies"" ""South Africa"" ""2023-03-18"" scheduled start time",,,,,,,pending,,,
1355717,2023-03-18,Ireland tour of Bangladesh,bilateral_series,Sylhet International Cricket Stadium,Sylhet,Bangladesh,Ireland,"""Bangladesh"" ""Ireland"" ""2023-03-18"" scheduled start time",,,,,,,pending,,,
1348657,2023-03-19,Australia tour of India,bilateral_series,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,Australia,"""India"" ""Australia"" ""2023-03-19"" scheduled start time",,,,,,,pending,,,
1339603,2023-03-21,West Indies tour of South Africa,bilateral_series,"Senwes Park, Potchefstroom",Potchefstroom,West Indies,South Africa,"""West Indies"" ""South Africa"" ""2023-03-21"" scheduled start time",,,,,,,pending,,,
1362379,2023-03-21,Netherlands tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Zimbabwe,Netherlands,"""Zimbabwe"" ""Netherlands"" ""2023-03-21"" scheduled start time",,,,,,,pending,,,
1348658,2023-03-22,Australia tour of India,bilateral_series,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Australia,India,"""Australia"" ""India"" ""2023-03-22"" scheduled start time",,,,,,,pending,,,
1355719,2023-03-23,Ireland tour of Bangladesh,bilateral_series,Sylhet International Cricket Stadium,Sylhet,Ireland,Bangladesh,"""Ireland"" ""Bangladesh"" ""2023-03-23"" scheduled start time",,,,,,,pending,,,
1362380,2023-03-23,Netherlands tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Zimbabwe,Netherlands,"""Zimbabwe"" ""Netherlands"" ""2023-03-23"" scheduled start time",,,,,,,pending,,,
1322359,2023-03-25,Sri Lanka tour of New Zealand,bilateral_series,"Eden Park, Auckland",Auckland,New Zealand,Sri Lanka,"""New Zealand"" ""Sri Lanka"" ""2023-03-25"" scheduled start time",,,,,,,pending,,,
1362381,2023-03-25,Netherlands tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Netherlands,Zimbabwe,"""Netherlands"" ""Zimbabwe"" ""2023-03-25"" scheduled start time",,,,,,,pending,,,
1365092,2023-03-26,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,United States of America,Namibia,"""United States of America"" ""Namibia"" ""2023-03-26"" scheduled start time",,,,,,,pending,,,
1365093,2023-03-27,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,United Arab Emirates,Papua New Guinea,"""United Arab Emirates"" ""Papua New Guinea"" ""2023-03-27"" scheduled start time",,,,,,,pending,,,
1365095,2023-03-29,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,Canada,United States of America,"""Canada"" ""United States of America"" ""2023-03-29"" scheduled start time",,,,,,,pending,,,
1365097,2023-03-30,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,Jersey,Namibia,"""Jersey"" ""Namibia"" ""2023-03-30"" scheduled start time",,,,,,,pending,,,
1365098,2023-03-30,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"United Cricket Club Ground, Windhoek",Windhoek,United Arab Emirates,United States of America,"""United Arab Emirates"" ""United States of America"" ""2023-03-30"" scheduled start time",,,,,,,pending,,,
1322361,2023-03-31,Sri Lanka tour of New Zealand,bilateral_series,"Seddon Park, Hamilton",Hamilton,Sri Lanka,New Zealand,"""Sri Lanka"" ""New Zealand"" ""2023-03-31"" scheduled start time",,,,,,,pending,,,
